latfield,lonfield,title,icao,iata,runways,chart,approach,tower,radar,ground,atis,other,,
57.2019,-2.1978,Aberdeen Dyce ,EGPD,ABZ,"05, 23, 14, 32, 16, 34",airports/EGPD.pdf,119.055,"121.705, 118.105","119.055, 128.305",121.705,"121.855, 114.300",None,,
49.7061,-2.2147,Alderney ,EGJA,ACI,"03, 21, 08, 26, 14, 32",airports/EGJA.pdf,128.655,125.355,"120.450, 125.205",130.505,None,None,,
51.895,0.4492,Andrewsfield ,EGSL,None,"09L, 27R, 09R, 27L",airports/EGSL.pdf,None,None,None,None,None,130.555,,
57.0228,-7.4431,Barra ,EGPR,BRR,"07, 25, 11, 29, 15, 33",airports/EGPR.pdf,None,None,None,None,118.080,None,,
54.1286,-3.2675,Barrow/Walney Island ,EGNL,BWF,"05, 23, 17, 35",airports/EGNL.pdf,None,None,None,None,123.205,None,,
52.4353,1.6183,Beccles ,EGSM,None,"09, 27",airports/EGSM.pdf,None,None,None,None,None,120.375,,
52.2325,-0.4456,Bedford Aerodrome,EGBF,None,"08, 26",airports/EGBF.pdf,None,None,None,None,None,119.030,,
54.6575,-6.2158,Belfast International ,EGAA,BFS,"07, 25, 17, 35",airports/EGAA.pdf,133.125,118.300,120.905,121.755,126.130,None,,
54.6181,-5.8725,Belfast City ,EGAC,BHD,"04, 22",airports/EGAC.pdf,130.850,122.830,134.800,None,124.580,None,,
57.4811,-7.3628,Benbecula ,EGPL,BEB,"06, 24, 17, 35",airports/EGPL.pdf,119.205,119.205,None,None,113.950,None,,
51.3308,0.0325,Biggin Hill ,EGKB,BQH,"03, 21",airports/EGKB.pdf,129.405,134.805,None,None,135.680,None,,
52.4539,-1.748,Birmingham International ,EGBB,BHX,"15, 33",airports/EGBB.pdf,"123.980, 131.005",118.305,"123.980, 131.330",121.805,136.030,None,,
51.3239,-0.8475,Blackbushe ,EGLK,BBS,"07, 25",airports/EGLK.pdf,None,None,None,122.305,122.305,None,,
53.7717,-3.0286,Blackpool International ,EGNH,BLK,"10, 28, 13, 31",airports/EGHH.pdf,119.955,118.405,None,None,127.205,None,,
50.78,-1.8425,Bournemouth ,EGHH,BOH,"08, 26",airports/EGNH.pdf,119.480,125.605,"118.655, 119.480",118.655,133.730,125.605,,
51.3827,-2.7191,Bristol ,EGGD,BRS,"09, 27",airports/EGGD.pdf,125.650,"121.930, 133.850",136.080,None,126.030,None,,
53.1018,-4.3376,Caernarfon ,EGCK,None,"07, 25",airports/EGCK.pdf,None,None,None,None,None,122.255,,
52.205,0.175,Cambridge ,EGSC,CBG,"05, 23, 05G, 23G",airports/EGSC.pdf,120.965,125.905,124.908,None,134.605,None,,
55.4372,-5.6864,Campbeltown ,EGEC,CAL,"11, 29",airports/EGFF.pdf,None,None,None,None,125.905,None,,
51.3967,-3.3433,Cardiff International ,EGFF,CWL,"12, 30",airports/EGEC.pdf,"119.155, 125.855",133.105,125.855,None,132.480,None,,
54.9375,-2.8092,Carlisle ,EGNC,CAX,"01, 19, 06, 24",airports/EGNC.pdf,None,123.605,None,None,None,121.600,,
51.6761,-1.0808,Chalgrove ,EGLJ,None,"12, 30",airports/EGLJ.pdf,None,None,None,None,None,125.410,,
50.8594,-0.7592,Chichester/Goodwood ,EGHR,QUG,"06, 24, 10, 28, 14, 32",airports/EGHR.pdf,None,None,None,None,122.455,None,,
56.6019,-6.6178,Coll ,EGEL,COL,"02, 20",airports/EGEL.pdf,None,None,None,None,None,125.005,,
56.0575,-6.2431,Colonsay Airstrip,EGEY,CSA,"10, 28",airports/EGEY.pdf,None,None,None,None,None,123.805,,
50.9672,-2.1536,Compton Abbas Aerodrome,EGHA,None,"08, 26",airports/EGHA.pdf,None,None,None,None,None,122.710,,
52.3697,-1.4797,Coventry ,EGBE,CVT,"05, 23",airports/EGBE.pdf,123.830,None,None,None,123.830,None,,
52.0722,-0.6167,Cranfield ,EGTC,None,"03, 21",airports/EGTC.pdf,122.855,"122.855, 134.930",None,None,121.880,None,,
55.9747,-3.9756,Cumbernauld ,EGPG,None,"07, 25",airports/EGPG.pdf,None,None,None,None,None,120.605,,
51.5883,-0.5131,Denham Aerodrome,EGLD,None,"06, 24, 12, 30",airports/EGLD.pdf,None,None,None,None,None,130.730,,
52.8597,-1.6175,Derby Airfield,EGBD,None,"05, 23, 10, 28, 17, 35",airports/EGBD.pdf,None,None,None,None,None,118.355,,
53.4805,-1.0107,Doncaster Sheffield ,EGCN,DSA,"02, 20",airports/EGCN.pdf,126.225,128.775,"126.225, 129.055, 275.275",None,134.955,None,,
56.4525,-3.0258,Dundee ,EGPN,DND,"09, 27",airports/EGPN.pdf,122.905,122.905,None,None,119.330,None,,
50.86,-3.2347,Dunkeswell ,EGTU,None,"04, 22",airports/EGTU.pdf,None,None,None,None,None,123.480,,
52.0908,0.1319,Duxford Aerodrome,EGSU,QFO,"06R, 24R, 06LG, 24RG",airports/EGSU.pdf,None,122.080,None,None,122.080,None,,
51.9144,0.6825,Earls Colne Airfield,EGSR,None,"06, 24",airports/EGSR.pdf,None,None,None,None,None,122.430,,
52.8311,-1.3281,East Midlands ,EGNX,EMA,"09, 27",airports/EGNX.pdf,134.180,124.005,"126.180, 120.130",121.905,122.680,None,,
59.1906,-2.7722,Eday ,EGED,EOI,"07, 25",airports/EGED.pdf,None,None,None,None,None,None,,
55.9501,-3.37229,Edinburgh ,EGPH,EDI,"06, 24",airports/EGPH.pdf,121.205,118.705,"121.205, 128.980",121.755,131.355,121.980,,
51.6558,-0.3258,Elstree Airfield,EGTR,None,"08, 26",airports/EGTR.pdf,None,122.405,None,None,122.405,None,,
54.3989,-7.6517,Enniskillen/St Angelo ,EGAB,ENK,"14, 32",airports/EGAB.pdf,None,None,None,None,None,123.205,,
50.7344,-3.4139,Exeter International ,EGTE,EXT,"08, 26",airports/EGTE.pdf,128.980,119.805,"123.580, 128.980",None,119.330,None,,
59.5358,-1.6281,Fair Isle ,EGEF,FIE,"06, 24",airports/EGEF.pdf,None,None,None,None,None,118.030,,
51.3481,-0.5589,Fairoaks ,EGTF,None,"06, 24",airports/EGTF.pdf,None,None,None,None,123.430,123.430,,
51.2758,-0.7763,Farnborough ,EGLF,FAB,"06, 24",airports/EGLF.pdf,130.055,122.780,"125.250, 133.440, 134.355",121.815,128.405,None,,
52.7392,-0.0297,Fenland Airfield,EGCL,None,"18, 36",airports/EGCL.pdf,None,None,None,None,None,122.930,,
55.8719,-4.4331,Glasgow International ,EGPF,GLA,"05, 23",airports/EGPF.pdf,119.100,118.805,"119.100, 125.250, 128.755",121.705,129.575,None,,
51.89419937,-2.167220116,Gloucestershire Airport,EGBJ,None,"04, 22, 04G, 22G, 09, 27",airports/EGBJ.pdf,128.555,122.905,"120.980, 128.555",None,127.480,None,,
49.435,-2.602,Guernsey ,EGJB,GCI,"09, 27",airports/EGJB.pdf,128.655,119.955,"118.900, 124.505",121.805,109.400,"Jersey Control: 120.450, CTR/Airway: 125.205",,
