IDENT,LATITUDE,LONGITUDE
06TRA,47.73333333,8.283333333
ABABI,48.53857222,12.9478
ABAMI,51.42495,7.280597222
ABANO,54.12915833,9.5
ABASO,53.97606111,11.43395278
ABAXA,50.76466667,7.385833333
ABERU,50.06919444,12.09371944
ABGAN,48.95816667,8.917152778
ABGAS,48.59366667,10.39166667
ABGUS,51.86705833,11.05343333
ABIKA,53.124275,13.78711944
ABILU,51.41013333,7.954227778
ABISI,48.92050833,12.77043056
ABITO,51.01066667,10.76304722
ABKIS,50.62969444,13.05718611
ABLOX,51.38078889,14.52004722
ABMAL,53.44206389,10.91198056
ABODU,51.51138889,6.4625
ABTAL,48.85463611,10.10706111
ABUKA,49.46541389,8.679063889
ABUMO,50.14166667,8.923333333
ACAYU,50.04450278,8.2981
ADAMS,49.79816667,11.93333333
ADEMI,51.48264444,7.888580556
ADENU,50.02544722,6.908233333
ADEPO,53.62523611,13.92531667
ADIBA,50.551675,10.38786111
ADLIR,52.40031944,13.62203889
ADMOS,51.72388889,10.83694444
ADUKI,54.32543333,13.360225
AGATI,52.911675,10.02896667
AGENI,50.75,6.033333333
AGIKO,49.59293889,11.31939722
AGISU,53.88166667,6.5
AKANU,49.05083333,10.6581
AKIGO,50.30543889,7.019680556
AKIMA,48.41316111,13.31041389
AKINI,48.74972222,12.12416667
AKONI,49.74679444,9.187541667
AKOSI,49.70785556,12.086125
AKUDI,51.56701389,13.65683889
AKUXO,50.87138889,6.074444444
ALAGO,47.79972778,9.462786111
ALASA,54.80861111,9.961666667
ALAXA,49.754425,10.82924444
ALB99,49.21437222,11.22143611
ALEDA,51.39579722,7.970388889
ALEXU,51.11093333,8.977227778
ALF05,53.523925,9.765758333
ALF07,53.641475,10.01075
ALF08,53.62668611,9.980947222
ALF09,53.73250556,10.196975
ALF10,53.78858889,9.859694444
ALF18,53.66052222,9.967597222
ALF19,53.661575,9.969941667
ALF29,53.57701111,9.875508333
ALF54,53.71517222,9.924811111
ALF55,53.57584722,9.874922222
ALF56,53.57583889,9.877172222
ALG01,47.9777,10.2128
ALG33,47.95833889,10.16304167
ALG84,47.87611944,10.10763056
ALG89,48.01127778,10.44954167
ALIBU,50.37732222,10.23034444
ALIDI,50.72168333,8.657825
ALONU,48.29388889,12.02777778
ALOPO,50.28027778,11.76805556
ALOSI,51.58896944,10.35947222
ALOSO,50.70755278,11.70175
AMADI,48.09138889,12.91388889
AMALI,52.47973333,10.40649167
AMASI,50.24028056,7.606127778
AMDID,48.09718333,12.39703056
AMEMI,47.89472778,10.1672
AMETU,50.83299167,8.964322222
AMEXO,48.10166667,10.80333333
AMGAS,47.73583889,11.25054444
AMICH,54.20553611,11.15371111
AMISO,53.932775,11.57380556
AMLUH,53.42898611,10.32250833
AMOSA,49.50955833,10.811525
AMOSU,51.63888889,6.455
AMPEG,48.13222222,11.17805556
AMSAN,52.15022778,7.111269444
AMUGI,50.09307778,9.781541667
AMW37,48.02505,10.33194444
ANANO,50.98371111,9.440811111
ANDEC,47.88678611,11.334475
ANEBO,52.5481,13.83058056
ANEKI,49.31727222,8.480427778
ANELA,49.76876389,11.22460278
ANEXI,53.52223611,9.770275
ANKER,48.572625,12.00232778
APROX,50.72524167,8.715855556
APVOM,49.43515278,7.560122222
ARBER,49.22289167,13.0253
ARGAD,54.50599722,13.49610556
ARKOK,49.98538056,7.68935
ARMUT,49.72263611,12.32330556
ARNIX,50.52885556,9.561680556
ARNOP,51.41624167,8.178875
ARPEG,51.01659167,8.306338889
ARPOT,48.674375,12.76675
ARSUT,48.16666667,9.328488889
ARTER,52.19999444,7.797727778
ASDAK,50.60222222,6.251944444
ASDIN,54.65820278,13.76856667
ASKIK,50.05276389,8.533622222
ASKIX,52.938375,12.79893056
ASPAT,49.196175,10.72582778
ATGUP,51.92333333,13.78805556
ATROS,52.28268611,10.13825833
AVENU,52.92651111,9.603725
BABAV,49.83928611,11.11135833
BABEG,48.672,9.665333333
BADAT,52.30523056,10.31857222
BADGO,51.09600833,8.235691667
BADLI,49.06356389,8.447558333
BADMU,52.22458056,8.970725
BADOS,54.36993889,9.135347222
BADOT,49.42845278,8.191263889
BADSO,48.82061667,8.604655556
BADVI,47.73108611,11.94538056
BAGED,48.25999167,8.350275
BAM11,51.14530833,7.260144444
BAM16,51.33145833,7.134880556
BAM25,51.08779722,6.635672222
BAM35,51.33583056,7.084875
BAM58,51.40275,7.079841667
BAMAS,49.87995,11.04583056
BAMKI,50.71806389,11.02020833
BAMSU,51.188775,7.309005556
BAMTO,50.060475,9.023086111
BAMUR,47.54468889,9.543677778
